city,station_ids,station_names
Chennai,"['site_293', 'site_5361', 'site_5618', 'site_5365', 'site_5092', 'site_306', 'site_5363', 'site_5364', 'site_288']","['Alandur Bus Depot, Chennai - CPCB', 'Arumbakkam, Chennai - TNPCB', 'Gandhi Nagar_Ennore, Chennai - TNPCB', 'Kodungaiyur, Chennai - TNPCB', 'Manali Village, Chennai - TNPCB', 'Manali, Chennai - CPCB', 'Perungudi, Chennai - TNPCB', 'Royapuram, Chennai - TNPCB', 'Velachery Res. Area, Chennai - CPCB']"
Kanpur,"['site_5500', 'site_5416', 'site_5474', 'site_276']","['FTI Kidwai Nagar, Kanpur - UPPCB', 'IITK, Kanpur - IITK', 'NSI Kalyanpur, Kanpur - UPPCB', 'Nehru Nagar, Kanpur - UPPCB']"
Firozabad,"['site_5480', 'site_5584']","['Nagla Bhau, Firozabad - UPPCB', 'Vibhab Nagar, Firozabad - UPPCB']"
Kota,"['site_5707', 'site_5701', 'site_1394']","['Dhanmandi, Kota - RSPCB', 'Nayapura, Kota - RSPCB', 'Shrinath Puram, Kota - RSPCB']"
Kollam,['site_5334'],"['Polayathode, Kollam - Kerala PCB']"
Kozhikode,['site_5271'],"['Palayam, Kozhikode - Kerala PCB']"
Sagar,"['site_5662', 'site_5269']","['Civil Lines, Sagar - MPPCB', 'Deen Dayal Nagar, Sagar - MPPCB']"
Mandikhera,['site_5055'],"['General Hospital, Mandikhera - HSPCB']"
Kalyan,['site_5118'],"['Khadakpada, Kalyan - MPCB']"
Mysuru,['site_5125'],"['Hebbal 1st Stage, Mysuru - KSPCB']"
Vatva,['site_5067'],"['Phase-4 GIDC, Vatva - GPCB']"
Panipat,['site_5048'],"['Sector-18, Panipat - HSPCB']"
Kurukshetra ,['site_5043'],"['Sector-7, Kurukshetra - HSPCB']"
Guwahati,"['site_5651', 'site_5683', 'site_5417', 'site_5073']","['IITG, Guwahati - PCBA', 'LGBI Airport, Guwahati - PCBA', 'Pan Bazaar, Guwahati - PCBA', 'Railway Colony, Guwahati - PCBA']"
Puducherry,['site_5423'],"['Jawahar Nagar, Puducherry - PPCC']"
Korba,"['site_5656', 'site_5657']","['Rampur, Korba - CECB', 'Urja Nagar, Korba - CECB']"
Amritsar,['site_256'],"['Golden Temple, Amritsar - PPCB']"
Jalandhar,['site_1438'],"['Civil Line, Jalandhar - PPCB']"
Bagalkot,['site_5264'],"['Vidayagiri, Bagalkot - KSPCB']"
Kannur,['site_5276'],"['Thavakkara, Kannur - Kerala PCB']"
Aizawl,['site_5346'],"['Sikulpuikawn, Aizawl - Mizoram PCB']"
Ramanathapuram,['site_5625'],"['Chalai Bazaar, Ramanathapuram - TNPCB']"
Durgapur,"['site_5983', 'site_299']","['PCBL Residential Complex, Durgapur - WBPCB', 'Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB']"
Anantapur,['site_5632'],"['Gulzarpet, Anantapur - APPCB']"
Bareilly,"['site_5628', 'site_5601']","['Civil Lines, Bareilly - UPPCB', 'Rajendra Nagar, Bareilly - UPPCB']"
Nalbari,['site_5668'],"['Bata Chowk, Nalbari - PCBA']"
Baripada,['site_5670'],"['Meher Colony, Baripada - OSPCB']"
Rourkela,"['site_5687', 'site_5675', 'site_5688']","['Fertilizer Township, Rourkela - OSPCB', 'Raghunathpali, Rourkela - OSPCB', 'Sector-2, Rourkela - OSPCB']"
Jodhpur,"['site_136', 'site_5726', 'site_5720', 'site_5773', 'site_5694']","['Collectorate, Jodhpur - RSPCB', 'Digari Kalan, Jodhpur - RSPCB', 'Jhalamand, Jodhpur - RSPCB', 'Mandor, Jodhpur - RSPCB', 'Samrat Ashok Udhyan, Jodhpur - RSPCB']"
Satna,['site_1433'],"['Bandhavgar Colony, Satna - Birla Cement']"
Kolkata,"['site_5238', 'site_5129', 'site_5110', 'site_5111', 'site_296', 'site_5126', 'site_309']","['Ballygunge, Kolkata - WBPCB', 'Bidhannagar, Kolkata - WBPCB', 'Fort William, Kolkata - WBPCB', 'Jadavpur, Kolkata - WBPCB', 'Rabindra Bharati University, Kolkata - WBPCB', 'Rabindra Sarobar, Kolkata - WBPCB', 'Victoria, Kolkata - WBPCB']"
Charkhi Dadri,['site_5339'],"['Mini Secretariat, Charkhi Dadri - HSPCB']"
Tumakuru,['site_5682'],"['Thimmalapura, Tumakuru - KSPCB']"
Churu,['site_5699'],"['Subash Chowk, Churu - RSPCB']"
Tonk,['site_5702'],"['Shastri Nagar, Tonk - RSPCB']"
Barmer,['site_5714'],"['Railway Colony, Barmer - RSPCB']"
Sri Ganganagar,['site_5719'],"['Old City, Sri Ganganagar - RSPCB']"
Pratapgarh,['site_5721'],"['Pragati Nagar, Pratapgarh - RSPCB']"
Kolhapur,"['site_5768', 'site_5769']","['Shivaji University, Kolhapur - MPCB', 'Sinchan Bhavan, Kolhapur - MPCB']"
Bundi,['site_5771'],"['New Colony, Bundi - RSPCB']"
Pimpri-Chinchwad,"['site_5763', 'site_5764', 'site_5765']","['Gavalinagar, Pimpri Chinchwad - MPCB', 'Park Street Wakad, Pimpri Chinchwad - MPCB', 'Thergaon, Pimpri Chinchwad - MPCB']"
Siliguri,['site_1419'],"['Ward-32 Bapupara, Siliguri - WBPCB']"
Howrah,"['site_5101', 'site_274', 'site_1416']","['Belur Math, Howrah - WBPCB', 'Ghusuri, Howrah - WBPCB', 'Padmapukur, Howrah - WBPCB']"
Mahad,['site_5783'],"['Kamble Tarf Birwadi, Mahad - MPCB']"
Jalgaon,['site_5790'],"['Prabhat Colony, Jalgaon - MPCB']"
Nanded,['site_5795'],"['Sneh Nagar, Nanded - MPCB']"
Navi Mumbai,"['site_261', 'site_5805', 'site_5114', 'site_5103', 'site_5815', 'site_5401', 'site_5799', 'site_5803']","['Airoli, Navi Mumbai - MPCB', 'Kopripada-Vashi, Navi Mumbai - MPCB', 'Mahape, Navi Mumbai - MPCB', 'Nerul, Navi Mumbai - MPCB', 'Sanpada, Navi Mumbai - MPCB', 'Sector-19A Nerul, Navi Mumbai - IITM', 'Sector-2E Kalamboli, Navi Mumbai - MPCB', 'Tondare-Taloja, Navi Mumbai - MPCB']"
Virar,['site_5808'],"['Bolinj, Virar - MPCB']"
Dhanbad,"['site_5827', 'site_5710']","['Kalakusuma, Dhanbad - DMC', 'Sardar Patel Nagar, Dhanbad - JSPCB']"
Manguraha,['site_5550'],"['Forest Rest House, Manguraha - BSPCB']"
Agartala,"['site_5587', 'site_5377']","['Bardowali, Agartala - Tripura SPCB', 'Kunjaban, Agartala - Tripura SPCB']"
Shillong,"['site_5593', 'site_5131']","['JN Stadium, Shillong - Meghalaya PCB', 'Lumpyngngad, Shillong - Meghalaya PCB']"
Karwar,['site_5853'],"['KHB Colony, Karwar - KSPCB']"
Rajamahendravaram,['site_1399'],"['Anand Kala Kshetram, Rajamahendravaram - APPCB']"
Byasanagar,['site_5942'],"['Ferro Chrome Colony, Byasanagar - OSPCB']"
Barrackpore,['site_5959'],"['SVSPA Campus, Barrackpore - WBPCB']"
Agra,"['site_5464', 'site_5482', 'site_307', 'site_5465', 'site_5501', 'site_5463']","['Manoharpur, Agra - UPPCB', 'Rohta, Agra - UPPCB', 'Sanjay Palace, Agra - UPPCB', 'Sector-3B Avas Vikas Colony, Agra - UPPCB', 'Shahjahan Garden, Agra - UPPCB', 'Shastripuram, Agra - UPPCB']"
Greater Noida,"['site_1541', 'site_5121']","['Knowledge Park - III, Greater Noida - UPPCB', 'Knowledge Park - V, Greater Noida - UPPCB']"
Ghaziabad,"['site_5082', 'site_5083', 'site_5081', 'site_144']","['Indirapuram, Ghaziabad - UPPCB', 'Loni, Ghaziabad - UPPCB', 'Sanjay Nagar, Ghaziabad - UPPCB', 'Vasundhara, Ghaziabad - UPPCB']"
Meerut,"['site_5258', 'site_5109', 'site_5257']","['Ganga Nagar, Meerut - UPPCB', 'Jai Bhim Nagar, Meerut - UPPCB', 'Pallavpuram Phase 2, Meerut - UPPCB']"
Dharuhera,['site_5044'],"['Municipal Corporation Office, Dharuhera -  HSPCB']"
Gurugram,"['site_5025', 'site_5345', 'site_5344', 'site_146']","['NISE Gwal Pahari, Gurugram - IMD', 'Sector-51, Gurugram - HSPCB', 'Teri Gram, Gurugram - HSPCB', 'Vikas Sadan, Gurugram - HSPCB']"
Nagpur,"['site_5792', 'site_5796', 'site_303', 'site_5793']","['Ambazari, Nagpur - MPCB', 'Mahal, Nagpur - MPCB', 'Opp GPO Civil Lines, Nagpur - MPCB', 'Ram Nagar, Nagpur - MPCB']"
Muzaffarpur,"['site_5370', 'site_5479', 'site_158']","['Buddha Colony, Muzaffarpur - BSPCB', 'MIT-Daudpur Kothi, Muzaffarpur - BSPCB', 'Muzaffarpur Collectorate, Muzaffarpur - BSPCB']"
Bihar Sharif,['site_5481'],"['D M Colony, Bihar Sharif - BSPCB']"
Purnia,['site_5549'],"['Mariam Nagar, Purnia - BSPCB']"
Saharsa,['site_5551'],"['Police Line, Saharsa - BSPCB']"
Chandigarh,"['site_5491', 'site_5127', 'site_5582']","['Sector 22, Chandigarh - CPCC', 'Sector-25, Chandigarh - CPCC', 'Sector-53, Chandigarh - CPCC']"
Jind,['site_5056'],"['Police Lines, Jind - HSPCB']"
Lucknow,"['site_5460', 'site_5128', 'site_272', 'site_5462', 'site_277', 'site_1405', 'site_297']","['B R Ambedkar University, Lucknow - UPPCB', 'Gomti Nagar, Lucknow - UPPCB', 'Kendriya Vidyalaya, Lucknow - CPCB', 'Kukrail Picnic Spot-1, Lucknow - UPPCB', 'Lalbagh, Lucknow - CPCB', 'Nishant Ganj, Lucknow - UPPCB', 'Talkatora District Industries Center, Lucknow - CPCB']"
Hassan,['site_5448'],"['B.Katihalli, Hassan - KSPCB']"
Srinagar,['site_5424'],"['Rajbagh, Srinagar - JKSPCB']"
Dehradun,['site_5594'],"['Doon University, Dehradun - UKPCB']"
Karnal,['site_5049'],"['Sector-12, Karnal - HSPCB']"
Brajrajnagar,['site_1410'],"['GM Office, Brajrajnagar - OSPCB']"
Chikkamagaluru,['site_5265'],"['Kalyana Nagara, Chikkamagaluru - KSPCB']"
Pali,['site_1395'],"['Indira Colony Vistar, Pali - RSPCB']"
Alwar,['site_1390'],"['Moti Doongri, Alwar - RSPCB']"
Vijayawada,"['site_5848', 'site_5685', 'site_257', 'site_5849', 'site_5981']","['HB Colony, Vijayawada - APPCB', 'Kanuru, Vijayawada - APPCB', 'PWD Grounds, Vijayawada - APPCB', 'Rajiv Gandhi Park, Vijayawada - APPCB', 'Rajiv Nagar, Vijayawada - APPCB']"
Mandideep,['site_1403'],"['Sector-D Industrial Area, Mandideep - MPPCB']"
Talcher,['site_1408'],"['Talcher Coalfields,Talcher - OSPCB']"
Raipur,"['site_5652', 'site_5655', 'site_5654', 'site_5653']","['AIIMS, Raipur - CECB', 'Bhatagaon New ISBT, Raipur - CECB', 'Krishak Nagar, Raipur - CECB', 'Siltara Phase-II, Raipur - CECB']"
Surat,['site_5664'],"['Science Center, Surat - SMC']"
Kanchipuram,['site_5619'],"['Kilambi, Kanchipuram - TNPCB']"
Tirupur,['site_5607'],"['Kumaran College, Tirupur - TNPCB']"
Dharwad,['site_5638'],"['Kalabhavan, Dharwad - KSPCB']"
Keonjhar,['site_5671'],"['Jagamohanpur, Keonjhar - OSPCB']"
Suakati,['site_5676'],"['OMC Colony, Suakati - OSPCB']"
Chandrapur,"['site_271', 'site_295']","['Chauhan Colony, Chandrapur - MPCB', 'MIDC Khutala, Chandrapur - MPCB']"
Byrnihat,['site_5669'],"['Central Academy for SFS, Byrnihat - PCBA']"
Kunjemura,['site_5690'],"['OP Jindal School, Kunjemura - CECB']"
Bharatpur,['site_5695'],"['Krishna Nagar, Bharatpur - RSPCB']"
Rishikesh,['site_5703'],"['Shivaji Nagar, Rishikesh - UKPCB']"
Bhopal,"['site_5708', 'site_5650', 'site_5247']","['Idgah Hills, Bhopal - MPPCB', 'Paryavaran Parisar, Bhopal - MPPCB', 'T T Nagar, Bhopal - MPPCB']"
Hanumangarh,['site_5715'],"['Housing Board, Hanumangarh - RSPCB']"
Sikar,['site_5722'],"['Radhakishan Pura, Sikar - RSPCB']"
Jaipur,"['site_1393', 'site_5725', 'site_134', 'site_5728', 'site_5727', 'site_1396']","['Adarsh Nagar, Jaipur - RSPCB', 'Mansarovar Sector-12, Jaipur - RSPCB', 'Police Commissionerate, Jaipur - RSPCB', 'RIICO Sitapura, Jaipur - RSPCB', 'Sector-2 Murlipura, Jaipur - RSPCB', 'Shastri Nagar, Jaipur - RSPCB']"
Patna,"['site_5336', 'site_5335', 'site_157', 'site_5261', 'site_5262', 'site_5263']","['DRM Office Danapur, Patna - BSPCB', 'Govt. High School Shikarpur, Patna - BSPCB', 'IGSC Planetarium Complex, Patna - BSPCB', 'Muradpur, Patna - BSPCB', 'Rajbansi Nagar, Patna - BSPCB', 'Samanpura, Patna - BSPCB']"
Jaisalmer,['site_5772'],"['Sadar Bazar, Jaisalmer - RSPCB']"
Akola,['site_5784'],"['Ramdaspeth, Akola - MPCB']"
Jalna,['site_5791'],"['Old MIDC, Jalna - MPCB']"
Belapur,['site_5804'],"['CBD Belapur, Belapur - MPCB']"
Boisar,['site_5809'],"['Khaira, Boisar - MPCB']"
Jabalpur,"['site_5965', 'site_5817', 'site_5249', 'site_5816']","['Govindh Bhavan Colony, Jabalpur - JMC', 'Gupteshwar, Jabalpur - JMC', 'Marhatal, Jabalpur - MPPCB', 'Suhagi, Jabalpur - JMC']"
Cuddalore,"['site_5621', 'site_5611']","['Kudikadu, Cuddalore - TNPCB', 'Semmandalam, Cuddalore - TNPCB']"
Coimbatore,"['site_5623', 'site_5094']","['PSG College of Arts and Science, Coimbatore - TNPCB', 'SIDCO Kurichi, Coimbatore - TNPCB']"
Ernakulam,['site_5272'],"['Kacheripady, Ernakulam - Kerala PCB']"
Sirsa,['site_5051'],"['F-Block, Sirsa - HSPCB']"
Thiruvananthapuram,"['site_5331', 'site_252']","['Kariavattom, Thiruvananthapuram - Kerala PCB', 'Plammoodu, Thiruvananthapuram - Kerala PCB']"
Maihar,['site_5068'],"['Sahilara, Maihar - KJS Cements']"
Palkalaiperur,['site_5626'],"['Bharathidasan University, Palkalaiperur - TNPCB']"
Bhubaneswar,"['site_5940', 'site_5943']","['Lingraj Mandir, Bhubaneswar - OSPCB', 'Patia, Bhubaneswar - OSPCB']"
Bulandshahr,['site_1542'],"['Yamunapuram, Bulandshahr - UPPCB']"
